struct,nrecs,file,sales,searches,ltime,saletime,searchtime\n
Array,10000,sort-10000.csv,10000,10000,782803206,5403486,1575638
Array,25000,sort-25000.csv,10000,10000,1227938234,5773238,1041059
Array,50000,sort-50000.csv,10000,10000,2145673960,5730018,1278345
Array,100000,sort-100000.csv,10000,10000,3904913276,5453653,1250680
Array,1000000,sort-1000000.csv,10000,10000,33342359630,6083493,1348122
Array,10000,rand-10000.csv,10000,10000,808180487,5743391,3189201
Array,25000,rand-25000.csv,10000,10000,1694750385,4990536,1125431
Array,50000,rand-50000.csv,10000,10000,4166905624,6060676,1156298
Array,100000,rand-100000.csv,10000,10000,13229254860,6849163,1628319
Array,1000000,rand-1000000.csv,10000,10000,1819155934060,7869011,1604228
Array,10000,sort-10000.csv,10000,10000,797826550,3496900,724701
Array,25000,sort-25000.csv,10000,10000,1234150054,3361264,604453
Array,50000,sort-50000.csv,10000,10000,2079054238,4374730,712272
Array,100000,sort-100000.csv,10000,10000,3628781256,3163079,573312
Array,1000000,sort-1000000.csv,10000,10000,32595668566,3271392,584016
Array,10000,rand-10000.csv,10000,10000,769675114,3704669,694084
Array,25000,rand-25000.csv,10000,10000,1319424432,4190082,713929
Array,50000,rand-50000.csv,10000,10000,2324271932,3590848,626879
Array,100000,rand-100000.csv,10000,10000,3970370563,4643638,790763
Array,1000000,rand-1000000.csv,10000,10000,36116288615,5615930,629752
